date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:47:43	26664/26664	---MCZ	200	added ('OK')	application/javascript	etag:W/%22594902a3-6828%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/vendor/jquery.fullpage.js?ver=4.8.1	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/vendor/jquery.fullpagea288.js	(from https://fundyourfuture.jpmorgan.com/es/es/adviser/2/)
12:47:44	1291/1291	---MCZ	200	added ('OK')	application/javascript	etag:W/%22594902a3-50b%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/vendor/jquery.ui.touch-punch.min.js?ver=4.8.1	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/vendor/jquery.ui.touch-punch.mina288.js	(from https://fundyourfuture.jpmorgan.com/es/es/adviser/2/)
12:47:44	239703/239703	---MCZ	200	added ('OK')	application/javascript	etag:W/%22594902a3-3a857%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/vendor/jquery-ui.js?ver=4.8.1	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/vendor/jquery-uia288.js	(from https://fundyourfuture.jpmorgan.com/es/es/adviser/2/)
12:47:44	6628/6628	---MCZ	200	added ('OK')	application/javascript	etag:W/%22594902a3-19e4%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/vendor/diversify_chart_d3.js?ver=4.8.1	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/vendor/diversify_chart_d3a288.js	(from https://fundyourfuture.jpmorgan.com/es/es/adviser/2/)
12:47:44	38355/38355	---MCZ	200	added ('OK')	application/javascript	etag:W/%22594902a3-95d3%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/vendor/chartist-and-plugins.js?ver=4.8.1	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/vendor/chartist-and-pluginsa288.js	(from https://fundyourfuture.jpmorgan.com/es/es/adviser/2/)
12:47:45	5299/5299	---MCZ	200	added ('OK')	application/javascript	etag:W/%22594902a3-14b3%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/vendor/Chart.js?ver=4.8.1	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/vendor/Charta288.js	(from https://fundyourfuture.jpmorgan.com/es/es/adviser/2/)
12:47:45	12190/12190	---MCZ	200	added ('OK')	application/javascript	etag:W/%22594902a3-2f9e%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/vendor/doughnutit.js?ver=4.8.1	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/vendor/doughnutita288.js	(from https://fundyourfuture.jpmorgan.com/es/es/adviser/2/)
12:47:45	61771/61771	---MCZ	200	added ('OK')	application/javascript	etag:W/%22594902a2-f14b%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/main.min.js?ver=4.8.1	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/main.mina288.js	(from https://fundyourfuture.jpmorgan.com/es/es/adviser/2/)
12:47:50	1398/1398	---MCZ	200	added ('OK')	application/javascript	etag:W/%225948f782-576%22	https://fundyourfuture.jpmorgan.com/wp-includes/js/wp-embed.min.js?ver=4.8.1	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-includes/js/wp-embed.mina288.js	(from https://fundyourfuture.jpmorgan.com/es/es/adviser/2/)
12:47:50	19911/19911	---M--	200	added ('OK')	image/png	etag:%22594902a0-4dc7%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/images/animate-1-home.png	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/images/animate-1-home.png	(from https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/style.css?ver=4.8.1)
12:47:51	73434/73434	---M--	200	added ('OK')	image/jpeg	etag:%22594902a0-11eda%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/images/background-nbs.jpg	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/images/background-nbs.jpg	(from https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/style.css?ver=4.8.1)
12:47:51	2012/2012	---M--	200	added ('OK')	image/png	etag:%22594902a0-7dc%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/images/1-fs8.png	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/images/1-fs8.png	(from https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/style.css?ver=4.8.1)
12:47:51	2411/2411	---M--	200	added ('OK')	image/png	etag:%22594902a0-96b%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/images/2-fs8.png	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/images/2-fs8.png	(from https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/style.css?ver=4.8.1)
12:47:51	2670/2670	---M--	200	added ('OK')	image/png	etag:%22594902a0-a6e%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/images/3-fs8.png	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/images/3-fs8.png	(from https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/style.css?ver=4.8.1)
12:47:51	4707/4707	---M--	200	added ('OK')	image/png	etag:%22594902a0-1263%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/images/4-fs8.png	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/images/4-fs8.png	(from https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/style.css?ver=4.8.1)
12:47:52	7571/7571	---M--	200	added ('OK')	image/png	etag:%22594902a0-1d93%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/images/bird-and-circle-fs8.png	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/images/bird-and-circle-fs8.png	(from https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/style.css?ver=4.8.1)
12:47:54	78495/78495	---M--	200	added ('OK')	image/jpeg	etag:%22594902a0-1329f%22	https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/images/background-nbs-ipad.jpg	C:/Users/josev/Downloads/fundyourfuture.jpmorgan/fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/images/background-nbs-ipad.jpg	(from https://fundyourfuture.jpmorgan.com/wp-content/themes/jpm-vin-v2/style.css?ver=4.8.1)
